,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
38,39,688789,宏华数科,195.8,4.71,8.81,7944.0,152848974.0,8.45,197.5,181.7,185.5,186.99,1.73,1.94,65.43,6.24,16263166405.0,8030493425.0,0.41,0.64,11.34,13.42
39,40,688180,君实生物-U,55.61,4.69,2.49,97575.0,535700483.0,7.02,56.4,52.67,52.67,53.12,1.69,2.26,-25.78,5.32,54814213726.0,24056793409.0,0.02,0.04,-16.73,-11.17
40,41,603939,益丰药房,61.36,4.57,2.68,130899.0,800474849.0,9.29,62.5,57.05,57.68,58.68,1.74,1.82,40.33,5.43,44283814505.0,44093893033.0,-0.05,-0.21,-13.31,-3.88
41,42,600470,六国化工,6.72,4.51,0.29,417240.0,280969703.0,7.0,6.89,6.44,6.45,6.43,4.87,8.0,13.28,1.94,3505152000.0,3505152000.0,0.0,0.15,7.01,9.27
42,43,600139,*ST西源,0.93,4.49,0.04,66036.0,6141322.0,0.0,0.93,0.93,0.93,0.89,0.13,1.0,-4.28,-1.03,615558172.0,615558172.0,0.0,0.0,-56.13,-21.85
43,44,688139,海尔生物,77.0,4.42,3.26,18163.0,139402422.0,5.53,77.88,73.8,73.8,73.74,1.51,0.57,39.79,6.28,24482343116.0,24482343116.0,-0.01,-0.03,7.44,21.64
44,45,603027,千禾味业,25.5,4.38,1.07,247044.0,626519347.0,5.53,25.76,24.41,24.43,24.43,1.81,2.58,98.55,10.94,24619449045.0,24442734045.0,-0.08,-0.08,33.02,22.71
45,46,600439,瑞贝卡,2.92,4.29,0.12,641656.0,186185094.0,5.71,2.95,2.79,2.79,2.8,2.52,5.67,65.4,1.19,3305397485.0,3305397485.0,0.34,0.34,11.03,8.55
46,47,688663,新风光,41.83,4.24,1.7,43794.0,179384308.0,6.48,42.1,39.5,40.27,40.13,1.16,5.07,55.11,5.36,5854108500.0,3614965332.0,-0.02,-0.38,-10.47,-4.93
47,48,600880,博瑞传播,6.09,4.1,0.24,1294362.0,801699439.0,9.91,6.44,5.86,5.87,5.85,1.24,11.84,128.04,2.21,6658392440.0,6656553766.0,0.0,0.5,17.79,12.99
48,49,600222,太龙药业,6.62,4.09,0.26,555608.0,364576439.0,6.76,6.72,6.29,6.4,6.36,3.5,9.68,-50.1,2.43,3799127193.0,3799127193.0,0.0,0.3,-8.44,3.92
49,50,605098,行动教育,35.4,4.09,1.39,21102.0,74152703.0,6.15,35.9,33.81,33.81,34.01,1.32,4.8,33.31,4.0,4179982440.0,1556038789.0,-0.17,0.31,20.98,20.9
50,51,688308,欧科亿,81.05,4.04,3.15,19008.0,151349287.0,5.15,81.06,77.05,77.91,77.9,1.25,2.89,36.32,3.79,9127551601.0,5338828340.0,0.0,0.06,9.88,7.35
51,52,600026,中远海能,15.51,4.02,0.6,522153.0,805499519.0,4.76,15.64,14.93,14.93,14.91,1.27,1.82,86.73,2.43,73994741886.0,44561117141.0,-0.06,0.0,-20.17,28.71
52,53,603963,大理药业,14.31,4.0,0.55,153303.0,218550346.0,9.88,14.95,13.59,13.76,13.76,1.97,6.98,-205.45,7.72,3143907000.0,3143907000.0,0.07,0.07,-16.27,9.57
53,54,600872,中炬高新,40.42,3.96,1.54,250006.0,1022635254.0,7.43,41.77,38.88,38.9,38.88,2.34,3.18,56.86,7.9,31744895899.0,31744895899.0,0.07,0.1,15.75,9.63
54,55,600535,天士力,12.87,3.96,0.49,340852.0,437053077.0,5.82,13.05,12.33,12.45,12.38,2.41,2.27,-43.28,1.58,19301140673.0,19301140673.0,-0.08,0.08,1.74,19.61
55,56,601233,桐昆股份,16.4,3.93,0.62,363306.0,595952906.0,5.77,16.66,15.75,15.83,15.78,1.38,1.59,15.32,1.09,39542359685.0,37515509007.0,-0.06,0.0,17.39,13.49
56,57,603398,沐邦高科,29.3,3.9,1.1,77447.0,223008849.0,6.7,29.6,27.71,28.19,28.2,1.47,2.26,712.83,10.5,10039191055.0,10039191055.0,0.03,0.14,-19.28,4.05
57,58,603025,大豪科技,21.69,3.83,0.8,247852.0,534805765.0,8.19,22.24,20.53,20.8,20.89,3.4,2.68,45.42,10.37,20048789516.0,20022299519.0,-0.05,0.0,25.09,14.16
58,59,603995,甬金股份,35.0,3.83,1.29,63609.0,219677933.0,5.67,35.21,33.3,33.92,33.71,0.83,3.89,25.34,3.12,11831305885.0,5725267415.0,0.06,0.49,21.49,25.76
59,60,603208,江山欧派,68.94,3.81,2.53,14552.0,100235211.0,12.39,72.06,63.83,63.83,66.41,1.07,1.07,228.44,5.51,9416186652.0,9416186652.0,0.0,0.35,34.2,12.28
60,61,688297,中无人机,49.79,3.79,1.82,72910.0,358962081.0,6.21,50.45,47.47,48.27,47.97,1.87,5.53,92.28,5.84,33608250000.0,6567725211.0,-0.04,-0.02,-9.29,10.82
